"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Одежда / Платья";"2";"2020-01-25";"34,5";"38";"1334175";"53157";"285491";"21,4";"334198";"25,05";"237733";"17,82";"71,14";"54615";"14971";"27,41";"92595";"16109";"17,4";"11016883";"25806156739";"3960043361";"13,3";"29766200100";"33,36";"29,26";"8608933888";"7550881462";"13439813";"7022601";"18456579163";"52,25";"37";"0";"8500000";"3061,62";"1730,5";"14";"250000";"2763,26";"2128";"4,66";"4,8";"4,54";"4,65";"121";"3,38";"14,83"
"Одежда / Джинсы";"2";"2020-01-25";"34,5";"38";"375826";"20716";"87642";"23,32";"107142";"28,51";"85239";"22,68";"79,56";"16842";"5269";"31,28";"27152";"5540";"20,4";"8868487";"22885418886";"2327977796";"9,23";"25213396682";"28,44";"24,35";"6508613131";"5572599499";"7908552";"2972126";"8707733041";"37,58";"27";"0";"6256602";"3103,32";"1976,5";"143";"236250";"2876,32";"2295";"4,73";"4,84";"4,6";"4,68";"121";"5,36";"23,27"
"Одежда / Куртки";"2";"2020-01-25";"34,5";"38";"707529";"27602";"134219";"18,97";"165042";"23,33";"112924";"15,96";"68,42";"24918";"6611";"26,53";"38456";"7218";"18,77";"4738729";"22086713214";"4869493707";"18,06";"26956206921";"28,61";"25,29";"6319008651";"5585729772";"3876211";"1677877";"9615362783";"43,29";"25";"0";"11728560";"5709,98";"3696";"222";"11728560";"5846,92";"4193";"4,72";"4,83";"4,6";"4,69";"104";"3,37";"14,44"
"Одежда / Костюмы";"2";"2020-01-25";"34,5";"38";"678475";"21549";"165530";"24,4";"195344";"28,79";"148900";"21,95";"76,22";"43894";"11834";"26,96";"56586";"13506";"23,87";"6982511";"20700355419";"3065258264";"12,9";"23765613683";"45,26";"41,61";"9368980863";"8613417890";"8800322";"4635532";"13063265707";"52,67";"38";"0";"5852000";"3427,73";"2117";"29";"2509000";"3427,57";"2606,5";"4,68";"4,83";"4,57";"4,68";"138";"3,56";"13,31"
"Одежда / Брюки";"1";"2020-01-25";"34,5";"38";"814564";"38652";"258015";"31,68";"287938";"35,35";"163823";"20,11";"56,9";"37169";"11830";"31,83";"46750";"12743";"27,26";"9748265";"18844765247";"1795239327";"8,7";"20640004574";"37,19";"33,15";"7008368195";"6247039679";"13177175";"6709863";"13645059336";"50,92";"41";"0";"8019000";"2615,52";"1620";"16";"196500";"2267,58";"1639";"4,74";"4,84";"4,61";"4,69";"73";"5,1";"19,56"
"Обувь / Кроссовки";"2";"2020-01-25";"34,5";"38";"1966226";"143366";"195299";"9,93";"226651";"11,53";"171120";"8,7";"75,5";"15674";"4681";"29,86";"24134";"5642";"23,38";"6630337";"15460337900";"1817282712";"10,52";"17277620612";"42,83";"40,43";"6621662723";"6250614613";"17595635";"11339850";"27588827743";"64,45";"80";"0";"1453787";"6049,41";"5207,5";"191";"405000";"3218,7";"2519";"4,67";"4,8";"4,55";"4,65";"61";"3,97";"14,71"
"Обувь / Ботинки";"3";"2020-01-25";"34,5";"38";"602172";"22520";"125069";"20,77";"144449";"23,99";"104138";"17,29";"72,09";"10373";"3586";"34,57";"18856";"3731";"19,79";"3884345";"10706748695";"1164653754";"9,81";"11871402449";"36,35";"33,35";"3891903151";"3570700690";"5798009";"2875093";"9093611669";"49,59";"45";"0";"13167000";"5249,95";"3558";"95";"405000";"4054,52";"3065";"4,68";"4,79";"4,56";"4,65";"55";"3,72";"16,17"
"Спортивная одежда / Костюмы спортивные";"1";"2020-01-25";"34,5";"38";"381550";"11393";"74121";"19,43";"85287";"22,35";"64697";"16,96";"75,86";"26091";"5249";"20,12";"31042";"6303";"20,3";"3160713";"9898094861";"1014241561";"9,29";"10912336422";"46,19";"42,89";"4571930016";"4245292886";"3710320";"1738511";"5102753944";"46,86";"35";"0";"6771600";"3337,42";"2035";"36";"684999";"3834,88";"2792,5";"4,67";"4,83";"4,57";"4,68";"132";"3,97";"16,42"
"Одежда / Пальто";"3";"2020-01-25";"34,5";"38";"162962";"4768";"30380";"18,64";"37554";"23,04";"27676";"16,98";"73,7";"8073";"2051";"25,41";"13423";"2108";"15,7";"1288725";"9616841354";"1710694876";"15,1";"11327536230";"23,21";"20,08";"2232068878";"1931061744";"836469";"324238";"2925701973";"38,76";"19";"0";"8019000";"7746,64";"5264,5";"241";"290925";"8834,47";"7236";"4,68";"4,8";"4,56";"4,65";"103";"3,09";"12,97"
"Одежда / Футболки";"2";"2020-01-25";"34,5";"38";"6647592";"559504";"734852";"11,05";"808367";"12,16";"350346";"5,27";"43,34";"42315";"11430";"27,01";"47222";"11732";"24,84";"11635726";"9179805479";"1201933823";"11,58";"10381739302";"63,44";"61,11";"5823668596";"5609779128";"22593521";"12798201";"15598446118";"56,65";"58";"0";"8019000";"1417,16";"1189";"31";"562950";"1094,41";"910";"4,81";"4,88";"4,73";"4,78";"49";"5,3";"15,96"
"Одежда / Юбки";"1";"2020-01-25";"34,5";"38";"307043";"13895";"82495";"26,87";"94784";"30,87";"69771";"22,72";"73,61";"24496";"7685";"31,37";"35854";"8340";"23,26";"4017601";"7375071680";"729539563";"9";"8104611243";"33,42";"29,05";"2464748955";"2142458323";"4970530";"2451078";"4766536807";"49,31";"37";"0";"7100026";"2319,83";"1327,5";"81";"189950";"2093,22";"1618";"4,74";"4,86";"4,62";"4,7";"85";"4,74";"17,75"
"Одежда / Рубашки";"2";"2020-01-25";"34,5";"38";"403691";"13634";"99518";"24,65";"115878";"28,7";"84975";"21,05";"73,33";"24680";"6903";"27,97";"31518";"7732";"24,53";"4465771";"7327718600";"812924277";"9,99";"8140642877";"43,72";"39,94";"3203678572";"2926690809";"6521304";"3392487";"6655766056";"52,02";"44";"0";"3510000";"2496,31";"1432";"75";"163273";"2093,3";"1646";"4,74";"4,87";"4,63";"4,72";"69";"5,02";"19,25"
"Обувь / Туфли";"2";"2020-01-25";"34,5";"38";"349289";"11474";"94647";"27,1";"108494";"31,06";"82333";"23,57";"75,89";"7108";"2623";"36,9";"14963";"2503";"16,73";"2921193";"6815661518";"813217088";"10,66";"7628878606";"31,85";"28,66";"2170788193";"1953368591";"6883188";"4135487";"10515229145";"60,08";"71";"0";"1000000";"4141,23";"2516,5";"163";"401187";"3520,01";"2509,5";"4,72";"4,84";"4,59";"4,68";"76";"4,26";"15,71"
"Аксессуары / Сумки";"1";"2020-01-25";"34,5";"38";"3480790";"403785";"177409";"5,1";"230496";"6,62";"154662";"4,44";"67,1";"48643";"9965";"20,49";"66094";"12728";"19,26";"3090953";"6025945119";"1957801454";"24,52";"7983746573";"58,65";"56,83";"3534216812";"3424544611";"3276034";"1555007";"3791587750";"47,47";"32";"0";"13800000";"4071,88";"1695,5";"42";"10000000";"3296,22";"1906,5";"4,69";"4,82";"4,6";"4,7";"52";"4,67";"10,98"
"Одежда / Блузки";"1";"2020-01-25";"34,5";"38";"319579";"18951";"77457";"24,24";"88264";"27,62";"63288";"19,8";"71,7";"15784";"4898";"31,03";"21802";"5231";"23,99";"3508837";"5907472502";"815375662";"12,13";"6722848164";"36,67";"32,64";"2166270166";"1928199025";"4514101";"2232540";"4006826554";"49,46";"39";"0";"900000";"2175,94";"1327";"103";"85500";"2059,91";"1578,5";"4,69";"4,83";"4,57";"4,68";"89";"4,18";"16,05"
"Одежда / Лонгсливы";"2";"2020-01-25";"34,5";"38";"287198";"15002";"73576";"25,62";"83942";"29,23";"61613";"21,45";"73,4";"17841";"6077";"34,06";"23915";"6713";"28,07";"5145345";"5668828774";"494967909";"8,03";"6163796683";"48,77";"46,08";"2764687793";"2612196299";"7186172";"3331170";"4121465003";"46,36";"42";"0";"1694000";"1607,43";"1042";"100";"1499250";"1388,86";"1092";"4,79";"4,88";"4,67";"4,75";"119";"5,11";"19,16"
"Одежда / Пижамы";"2";"2020-01-25";"34,5";"38";"416191";"19019";"70965";"17,05";"83243";"20";"61672";"14,82";"74,09";"20797";"5134";"24,69";"26620";"5995";"22,52";"4455304";"5594176252";"542108419";"8,83";"6136284671";"61,5";"60,99";"3440418395";"3411888096";"5633383";"2727593";"3539468075";"48,42";"38";"0";"1000000";"2007,03";"1210";"52";"73300";"1567,14";"1207";"4,79";"4,9";"4,68";"4,77";"132";"3,89";"17,82"
"Обувь / Сапоги";"3";"2020-01-25";"34,5";"38";"145620";"4174";"38897";"26,71";"45566";"31,29";"33619";"23,09";"73,78";"4873";"1579";"32,4";"8353";"1607";"19,24";"1419011";"5160852253";"770685364";"12,99";"5931537617";"28,18";"24,71";"1454328165";"1275246592";"1266659";"535638";"2233245809";"42,29";"27";"0";"1000000";"5630,21";"3811,5";"183";"400725";"5473,93";"3897,5";"4,66";"4,79";"4,54";"4,63";"67";"3,57";"16"
"Одежда / Пиджаки";"2";"2020-01-25";"34,5";"38";"86272";"4133";"23552";"27,3";"27873";"32,31";"19469";"22,57";"69,85";"9458";"2840";"30,03";"14419";"3307";"22,94";"1412606";"5063518771";"797542223";"13,61";"5861060994";"27,07";"22,84";"1370694531";"1156507687";"1231441";"472879";"1992121311";"38,4";"26";"0";"8400000";"4961,67";"2840";"29";"192850";"4410,41";"3359";"4,66";"4,81";"4,54";"4,66";"102";"4,02";"16,64"
"Смартфоны и гаджеты / Смартфоны";"1";"2020-01-25";"16,5";"20";"490570";"53344";"9307";"1,9";"17072";"3,48";"12761";"2,6";"74,75";"1058";"143";"13,52";"6325";"1071";"16,93";"143066";"4405933168";"5748148204";"56,61";"10154081372";"86,23";"86,05";"3799236171";"3791305491";"164289";"102133";"2330370268";"62,17";"34";"0";"18000000";"53423,15";"18311,5";"20";"15380000";"35468,71";"18506";"4,58";"4,7";"4,54";"4,64";"39";"5,89";"6,99"
"Белье / Трусы";"1";"2020-01-25";"34,5";"38";"652921";"35005";"141270";"21,64";"158908";"24,34";"89032";"13,64";"56,03";"20561";"4245";"20,65";"22721";"5014";"22,07";"5665844";"4260888691";"267085861";"5,9";"4527974552";"77,98";"77,82";"3322641001";"3315823579";"8656175";"3968763";"3001470813";"45,85";"46";"0";"4692000";"1002,22";"614";"30";"55860";"789,56";"629";"4,78";"4,9";"4,68";"4,78";"68";"5,56";"21,58"
"Белье / Бюстгальтеры";"1";"2020-01-25";"34,5";"38";"218814";"22580";"55411";"25,32";"63272";"28,92";"46815";"21,39";"73,99";"5855";"1734";"29,62";"7321";"2144";"29,29";"3752695";"4159845862";"187686799";"4,32";"4347532661";"49,48";"49,15";"2058291733";"2044564241";"5339988";"2067925";"2610238024";"38,73";"43";"0";"171690";"1664,95";"983";"51";"31250";"1462,7";"1055";"4,77";"4,88";"4,65";"4,73";"76";"5,66";"21,76"
"Одежда / Джемперы";"2";"2020-01-25";"34,5";"38";"268645";"7076";"61143";"22,76";"71410";"26,58";"51281";"19,09";"71,81";"9997";"2640";"26,41";"12234";"2680";"21,91";"2117329";"4076722468";"813271721";"16,63";"4889994189";"41,06";"37,01";"1673902245";"1508794985";"2193273";"1006306";"2163060857";"45,88";"31";"0";"900000";"3140,72";"1653";"138";"100647";"2356,18";"1905";"4,72";"4,84";"4,61";"4,7";"95";"4,07";"17,44"
"Белье / Костюмы купальные";"3";"2020-01-25";"34,5";"38";"223856";"14003";"47593";"21,26";"54892";"24,52";"41308";"18,45";"75,25";"9248";"2541";"27,48";"13293";"2827";"21,27";"2038884";"3955392057";"310246255";"7,27";"4265638312";"28,45";"28,04";"1125309040";"1109091933";"3844865";"1946368";"3944231258";"50,62";"57";"0";"1000000";"2441,62";"1484";"84";"73300";"2238,01";"1676";"4,68";"4,8";"4,56";"4,65";"139";"4,17";"19,26"
"Обувь / Ботильоны";"3";"2020-01-25";"34,5";"38";"66868";"2511";"20762";"31,05";"24699";"36,94";"21179";"31,67";"85,75";"2026";"782";"38,6";"3940";"762";"19,34";"1287929";"3906019676";"442964830";"10,19";"4348984506";"30,8";"27,65";"1203054060";"1080014440";"1348358";"518626";"1800740334";"38,46";"31";"0";"100714";"5310,76";"3751";"469";"68029";"4782,42";"3556";"4,75";"4,85";"4,63";"4,71";"103";"3,99";"16,77"
"Одежда / Пуховики";"3";"2020-01-25";"34,5";"38";"224674";"12996";"25449";"11,33";"31788";"14,15";"23586";"10,5";"74,2";"6656";"1610";"24,19";"10901";"1782";"16,35";"452012";"3841980489";"1561925421";"28,9";"5403905910";"25,83";"21,6";"992383560";"829867786";"465427";"227429";"3623696293";"48,86";"31";"0";"7710621";"8727,86";"5755";"294";"380700";"10003,03";"7381,5";"4,64";"4,76";"4,52";"4,61";"105";"3,04";"13,63"
"Одежда / Худи";"1";"2020-01-25";"34,5";"38";"377846";"20995";"63557";"16,82";"70678";"18,71";"37364";"9,89";"52,87";"15913";"3699";"23,25";"19425";"4173";"21,48";"1812877";"3809984260";"412481545";"9,77";"4222465805";"42,93";"40,31";"1635626243";"1535804655";"2351599";"1156140";"2500035300";"49,16";"39";"0";"1055349";"3323,86";"2779,5";"189";"59220";"2612";"2228,5";"4,71";"4,82";"4,62";"4,69";"99";"4,6";"15,8"
"Одежда / Свитеры";"3";"2020-01-25";"34,5";"38";"335004";"12416";"57096";"17,04";"70150";"20,94";"52246";"15,6";"74,48";"18133";"3900";"21,51";"23701";"4425";"18,67";"1897905";"3641588304";"759066942";"17,25";"4400655246";"38,53";"35,02";"1403103974";"1275284224";"1920297";"967348";"2367127990";"50,37";"30";"0";"8019000";"2804,2";"1593";"184";"70500";"2054,95";"1642";"4,68";"4,84";"4,57";"4,69";"90";"4,18";"18,13"
"Обувь / Кеды";"2";"2020-01-25";"34,5";"38";"269854";"12492";"53486";"19,82";"62747";"23,25";"47301";"17,53";"75,38";"7182";"2222";"30,94";"10539";"2594";"24,61";"1319349";"3525712634";"672001152";"16,01";"4197713786";"36,02";"33,31";"1269961691";"1174414878";"3628774";"2391910";"6648221574";"65,92";"83";"0";"900000";"4326,84";"2939";"89";"523000";"3902,16";"3082,5";"4,65";"4,76";"4,53";"4,62";"60";"4,17";"13,78"
"Текстиль для дома / Постельное белье";"1";"2020-01-25";"29,5";"33";"826864";"42133";"67464";"8,16";"83416";"10,09";"58141";"7,03";"69,7";"6651";"1195";"17,97";"8547";"1489";"17,42";"1760372";"3505297970";"678461194";"16,22";"4183759164";"82,59";"82,4";"2895025593";"2888365527";"3282690";"1579858";"3318583066";"48,13";"56";"0";"2799999";"4444,53";"3045,5";"109";"355221";"3449,26";"2576";"4,72";"4,89";"4,64";"4,77";"82";"3,88";"11,43"
"Спортивная одежда / Брюки спортивные";"1";"2020-01-25";"34,5";"38";"172983";"9607";"50149";"28,99";"56152";"32,46";"34746";"20,09";"61,88";"9355";"3372";"36,04";"12228";"4164";"34,05";"2079164";"3405563730";"304184751";"8,2";"3709748481";"40,05";"36,32";"1363928274";"1236900747";"2684427";"1420429";"2277113235";"52,91";"39";"0";"7710621";"2404,78";"1342";"15";"52524";"2027,45";"1413";"4,75";"4,84";"4,63";"4,7";"98";"5,65";"21,74"
"Одежда / Свитшоты";"2";"2020-01-25";"34,5";"38";"477741";"38922";"52334";"10,95";"60155";"12,59";"39792";"8,33";"66,15";"14022";"3926";"28";"17734";"4371";"24,65";"1931118";"3152399745";"394399663";"11,12";"3546799408";"44,33";"40,86";"1397458807";"1288070536";"2426468";"1174725";"2032992748";"48,41";"38";"0";"3028965";"2801,9";"2285,5";"60";"68500";"1990,58";"1584";"4,74";"4,86";"4,63";"4,73";"92";"4,67";"17,61"
"Одежда / Жилеты";"2";"2020-01-25";"34,5";"38";"201233";"16279";"41428";"20,59";"49233";"24,47";"36188";"17,98";"73,5";"15083";"4597";"30,48";"20096";"5178";"25,77";"1355709";"3088590696";"487091748";"13,62";"3575682444";"36,64";"32,49";"1131659631";"1003483117";"1793022";"870708";"2256183802";"48,56";"40";"0";"11388602";"3046,6";"1841,5";"136";"11388602";"2910,3";"2043";"4,77";"4,88";"4,66";"4,74";"76";"4,49";"15,59"
"Одежда / Топы";"2";"2020-01-25";"34,5";"38";"283037";"19001";"59309";"20,95";"69874";"24,69";"50854";"17,97";"72,78";"20154";"5259";"26,09";"26743";"5879";"21,98";"2758188";"3047783773";"425831823";"12,26";"3473615596";"46,28";"43,46";"1410514330";"1324566828";"4437927";"2357249";"2809341176";"53,12";"48";"0";"900000";"1504,5";"756";"84";"72500";"1278,28";"909,5";"4,7";"4,84";"4,59";"4,7";"59";"5,64";"16,61"
"Одежда / Халаты домашние";"1";"2020-01-25";"34,5";"38";"107534";"3288";"28511";"26,51";"33112";"30,79";"24591";"22,87";"74,27";"5355";"1693";"31,62";"6817";"1877";"27,53";"1723118";"2838633939";"223433972";"7,3";"3062067911";"56,65";"53,85";"1608086126";"1528604376";"1483125";"515201";"877468368";"34,74";"26";"0";"900000";"2273,9";"1459";"144";"66445";"2032,71";"1603";"4,8";"4,91";"4,68";"4,75";"144";"3,45";"17,94"
"Одежда / Бомберы";"3";"2020-01-25";"34,5";"38";"47285";"2676";"10898";"23,05";"13470";"28,49";"11173";"23,63";"82,95";"6892";"2109";"30,6";"9077";"2404";"26,48";"686717";"2756207667";"654667377";"19,19";"3410875044";"33,88";"30,69";"933803158";"845880133";"666486";"298936";"1146427007";"44,85";"29";"0";"2402820";"4153,41";"2542";"235";"138408";"4094,65";"3406,5";"4,77";"4,88";"4,66";"4,74";"159";"4,08";"14,85"
"Одежда / Комбинезоны";"2";"2020-01-25";"34,5";"38";"128522";"5396";"25806";"20,08";"30320";"23,59";"20886";"16,25";"68,89";"8606";"2254";"26,19";"15971";"2477";"15,51";"674956";"2730297517";"501042959";"15,51";"3231340476";"33,94";"29,37";"926662977";"801888381";"874503";"450863";"1833276329";"51,56";"39";"0";"1000000";"3803,29";"2401";"143";"208500";"4236,47";"3383";"4,75";"4,87";"4,64";"4,73";"60";"3,59";"14,12"
"Одежда / Кардиганы";"1";"2020-01-25";"34,5";"38";"172426";"5719";"34216";"19,84";"41714";"24,19";"30972";"17,96";"74,25";"13458";"3173";"23,58";"16761";"3521";"21,01";"1107457";"2551208203";"611133704";"19,33";"3162341907";"38,61";"34,68";"985021487";"884759005";"1334195";"664871";"1676490889";"49,83";"36";"0";"1711110";"2882,41";"1802";"104";"81039";"2680,55";"2132,5";"4,71";"4,85";"4,6";"4,7";"97";"3,79";"15,18"
"Ювелирные украшения / Ювелирные кольца";"1";"2020-01-25";"33";"33";"245224";"22035";"54645";"22,28";"59435";"24,24";"38021";"15,5";"63,97";"1355";"710";"52,4";"1402";"712";"50,78";"704657";"2536781977";"303742037";"10,69";"2840524014";"54,98";"54,7";"1394722731";"1387619741";"1783892";"1166046";"4007408528";"65,37";"76";"0";"4686000";"16854,63";"4109";"154";"378993";"5809,74";"2329,5";"4,83";"4,91";"4,76";"4,81";"42";"4,46";"9,02"
"Обувь / Лоферы";"2";"2020-01-25";"34,5";"38";"248314";"22977";"30408";"12,25";"35071";"14,12";"26902";"10,83";"76,71";"4125";"1534";"37,19";"6578";"1594";"24,23";"920940";"2466009330";"417496397";"14,48";"2883505727";"34,46";"31,82";"849786815";"784684169";"2342787";"1449250";"4201092233";"61,86";"76";"0";"620350";"6140,65";"4778,5";"185";"88862";"3850,64";"2965";"4,65";"4,8";"4,53";"4,64";"75";"3,99";"14"
"Одежда / Шорты";"3";"2020-01-25";"34,5";"38";"299364";"8722";"80333";"26,83";"90625";"30,27";"56163";"18,76";"61,97";"19003";"6136";"32,29";"22899";"6696";"29,24";"1966339";"2410181020";"292875942";"10,83";"2703056962";"49,32";"45,83";"1188701279";"1104585961";"5091607";"3403707";"5754736841";"66,85";"78";"0";"6682500";"1708,08";"994";"81";"124740";"1511,16";"1048";"4,8";"4,89";"4,68";"4,75";"39";"5,72";"17,17"
"Красота / Кремы";"1";"2020-01-25";"32,5";"36";"3003487";"686577";"71938";"2,4";"110687";"3,69";"78858";"2,63";"71,24";"30645";"7585";"24,75";"39228";"9533";"24,3";"4071643";"2389165585";"378081642";"13,66";"2767247227";"92,78";"92,73";"2216667830";"2215473247";"5953369";"2684997";"2086493981";"45,1";"44";"0";"1500000";"1168,34";"575";"10";"43111";"921,42";"557";"4,76";"4,88";"4,69";"4,77";"70";"10,44";"19,02"
"Здоровье / БАДы";"1";"2020-01-25";"24,5";"28";"318397";"24697";"29544";"9,28";"40535";"12,73";"32503";"10,21";"80,19";"5624";"2478";"44,06";"4916";"2143";"43,59";"2978447";"2376592281";"191593007";"7,46";"2568185288";"92,21";"92,16";"2191455742";"2190267446";"5298559";"2367906";"1978009221";"44,69";"53";"0";"12666240";"4083,3";"1019";"35";"35357";"1289,27";"899";"4,87";"4,96";"4,8";"4,85";"92";"11,6";"23,6"
"Одежда / Леггинсы";"2";"2020-01-25";"34,5";"38";"128060";"4038";"31126";"24,31";"36146";"28,23";"24361";"19,02";"67,4";"14543";"3267";"22,46";"17799";"3733";"20,97";"1979999";"2270535460";"169628900";"6,95";"2440164360";"45,96";"42,78";"1043538097";"971335070";"2479779";"1159495";"1095515509";"46,76";"38";"0";"1000000";"1104,88";"652";"75";"62500";"1089,6";"813";"4,69";"4,82";"4,58";"4,68";"95";"5,69";"22,63"
"Книжная продукция и диски / Книги";"1";"2020-01-25";"29,5";"33";"9142009";"441230";"347268";"3,8";"426472";"4,66";"213034";"2,33";"49,95";"22731";"3947";"17,36";"18020";"2445";"13,57";"4237792";"2221474713";"406693423";"15,47";"2628168136";"91,92";"91,85";"2041979556";"2040424524";"8624288";"4886981";"2849965310";"56,67";"61";"0";"3015928";"1522,82";"1045,5";"15";"50050";"737,22";"558";"4,88";"4,95";"4,85";"4,89";"33";"10,63";"18,56"
"Одежда / Кофты";"2";"2020-01-25";"34,5";"38";"138488";"3922";"34298";"24,77";"39181";"28,29";"22953";"16,57";"58,58";"9965";"2192";"22";"12216";"2470";"20,22";"1291613";"1991200252";"316113073";"13,7";"2307313325";"44,38";"41,36";"883694672";"823560424";"1294975";"536809";"874546359";"41,45";"30";"0";"6326100";"2164,56";"1315";"130";"46690";"1952,76";"1524";"4,7";"4,87";"4,59";"4,71";"151";"3,8";"17,41"
"Ювелирные украшения / Ювелирные серьги";"1";"2020-01-25";"33";"33";"361274";"48164";"71918";"19,91";"85024";"23,53";"55398";"15,33";"65,16";"1546";"788";"50,97";"2264";"800";"35,34";"615663";"1924293905";"736019443";"27,67";"2660313348";"68,47";"68,26";"1317564037";"1313523020";"1135432";"667734";"2347548254";"58,81";"55";"0";"8378992";"16627,72";"3224,5";"140";"1000000";"5779,59";"2435";"4,79";"4,88";"4,71";"4,77";"32";"4,8";"7,84"
"Головные уборы / Шапки";"3";"2020-01-25";"34,5";"38";"986594";"55903";"145156";"14,71";"170820";"17,31";"104033";"10,54";"60,9";"21819";"4293";"19,68";"29590";"5083";"17,18";"2261551";"1908172047";"521274366";"21,46";"2429446413";"47,48";"44,4";"906000088";"847228389";"3819412";"2310269";"2134723349";"60,49";"51";"0";"1000000";"1346,05";"834";"39";"133440";"1206,75";"829";"4,78";"4,89";"4,7";"4,77";"37";"5,71";"18,93"
"Одежда / Шубы искусственные";"3";"2020-01-25";"34,5";"38";"44260";"1751";"10535";"23,8";"12870";"29,08";"10248";"23,15";"79,63";"2725";"920";"33,76";"5950";"1131";"19,01";"215828";"1896185319";"600295414";"24,05";"2496480733";"22,23";"18,39";"421521996";"348708480";"157025";"64807";"953444156";"41,27";"22";"0";"7280000";"11262,44";"7103";"621";"1000000";"10439,31";"8514";"4,71";"4,84";"4,6";"4,7";"112";"2,69";"14,46"
"Аксессуары для электроники / Чехлы для телефонов";"1";"2020-01-25";"29,5";"33";"27386487";"3392744";"1245605";"4,55";"1414240";"5,16";"491982";"1,8";"34,79";"10613";"2772";"26,12";"18474";"3398";"18,39";"4106875";"1758017704";"366133665";"17,24";"2124151369";"77,67";"76,37";"1365452351";"1342598121";"9523089";"5998342";"2786556391";"62,99";"70";"0";"7129999";"587,34";"474";"11";"45658";"508,46";"361";"4,75";"4,83";"4,69";"4,73";"13";"5,28";"13,12"
"Обувь / Босоножки";"3";"2020-01-25";"34,5";"38";"207264";"5578";"45663";"22,03";"52564";"25,36";"37975";"18,32";"72,25";"4607";"1604";"34,82";"7254";"1594";"21,97";"723927";"1732158468";"375657456";"17,82";"2107815924";"34,6";"31,38";"599326830";"543551327";"3773706";"2944350";"7972638067";"78,02";"156";"0";"131014";"3410,03";"2199";"189";"66096";"3174";"2434,5";"4,66";"4,79";"4,53";"4,63";"48";"3,62";"10,08"
"Одежда / Толстовки";"1";"2020-01-25";"34,5";"38";"242231";"20930";"42293";"17,46";"49396";"20,39";"29438";"12,15";"59,6";"9035";"2383";"26,38";"10879";"2549";"23,43";"907645";"1716118094";"348644343";"16,89";"2064762437";"44,87";"41,35";"770022189";"709614832";"1217015";"630033";"1377421335";"51,77";"40";"0";"7710621";"2911,39";"1680";"157";"67003";"2383,78";"1795";"4,73";"4,84";"4,63";"4,72";"63";"4,62";"15,9"
"Одежда / Футболки-поло";"2";"2020-01-25";"34,5";"38";"113899";"6936";"26910";"23,63";"30444";"26,73";"22448";"19,71";"73,74";"5293";"1914";"36,16";"6895";"2193";"31,81";"1216286";"1634140963";"167843793";"9,31";"1801984756";"47,18";"42,96";"770987706";"702026958";"2376329";"1284001";"1916249669";"54,03";"59";"0";"900000";"2783,97";"1440";"147";"66700";"1935,3";"1473";"4,75";"4,88";"4,65";"4,74";"53";"5,07";"17,95"
"Одежда / Ночные сорочки";"1";"2020-01-25";"34,5";"38";"91721";"3299";"24299";"26,49";"27568";"30,06";"19078";"20,8";"69,2";"4766";"1531";"32,12";"6429";"1712";"26,63";"1568222";"1568703892";"111998536";"6,66";"1680702428";"66,93";"66,7";"1049933515";"1046325496";"1786216";"732173";"718983058";"40,99";"34";"0";"1000000";"1405,82";"862";"182";"70500";"1410,95";"975";"4,84";"4,91";"4,72";"4,78";"141";"3,85";"18,38"
"Белье / Комплекты белья";"1";"2020-01-25";"34,5";"38";"145110";"23299";"16020";"11,04";"19023";"13,11";"14612";"10,07";"76,81";"9266";"1459";"15,75";"11013";"1789";"16,24";"1219501";"1557014466";"86288149";"5,25";"1643302615";"52,81";"52,62";"822259339";"819301012";"1684001";"701164";"866520944";"41,64";"41";"0";"3000000";"1445,63";"930";"100";"71500";"1254,05";"1035";"4,71";"4,86";"4,6";"4,72";"169";"4,45";"21,77"
