"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Фото и Видеотехника / Делители видеосигнала";"2";"2021-01-26";"28,5";"32";"2756";"574";"52";"1,89";"76";"2,76";"54";"1,96";"71,05";"70";"16";"22,86";"223";"21";"9,42";"1077";"233020";"18611";"7,4";"251631";"88,37";"88,37";"205920";"205920";"1615";"873";"245879";"54,06";"45";"0";"160834";"1787,07";"883,5";"55";"1304";"344,26";"272,5";"4,8";"4,96";"4,72";"4,8";"7";"10,32";"18,37"
"Товары для животных / Боксы для рулеток";"2";"2020-03-02";"21,5";"25";"14924";"4333";"37";"0,25";"60";"0,4";"33";"0,22";"55";"26";"4";"15,38";"884";"16";"1,81";"300";"232722";"21473";"8,45";"254195";"100";"100";"232722";"232722";"762";"448";"431721";"58,79";"76";"0";"426837";"1863,18";"969";"229";"3163";"803,67";"667";"4,61";"4,81";"4,55";"4,7";"14";"5,77";"18,62"
"Ручной инструмент и оснастка / Кирки";"3";"2021-08-15";"31,5";"35";"5872";"1414";"41";"0,7";"60";"1,02";"30";"0,51";"50";"51";"12";"23,53";"842";"18";"2,14";"336";"232569";"4702";"1,98";"237271";"96,08";"96,08";"223452";"223452";"405";"101";"209717";"24,94";"36";"0";"900000";"2616,49";"1586,5";"490";"15430";"1703,73";"1074,5";"4,84";"4,84";"4,79";"4,78";"3";"7,29";"14,46"
"Товары для животных / Кликеры для дрессировки";"1";"2020-06-23";"16,5";"20";"6998";"2158";"86";"1,23";"109";"1,56";"78";"1,11";"71,56";"111";"20";"18,02";"802";"30";"3,74";"886";"231806";"38298";"14,18";"270104";"87,63";"86,6";"203132";"200744";"1948";"1202";"261710";"61,7";"66";"0";"170735";"1648,75";"833";"137";"1556";"284,45";"255";"4,69";"4,89";"4,6";"4,76";"3";"12,52";"11,16"
"Автозапчасти / Подвески пневматические";"3";"2021-11-02";"26,5";"30";"7509";"370";"79";"1,05";"101";"1,35";"31";"0,41";"30,69";"233";"13";"5,58";"232";"15";"6,47";"66";"231622";"118310";"33,81";"349932";"100";"100";"231622";"231622";"103";"89";"669128";"86,41";"47";"0";"7565500";"12671,78";"7255";"641";"28579";"5044,48";"3151";"4,7";"4,82";"4,68";"4,79";"10";"4,82";"10,49"
"Спортивный товар / Велодекор";"3";"2020-01-25";"22,5";"26";"3655";"1600";"79";"2,16";"96";"2,63";"65";"1,78";"67,71";"82";"20";"24,39";"231";"22";"9,52";"1386";"230645";"59751";"20,58";"290396";"100";"100";"230645";"230645";"2256";"1485";"312844";"65,82";"49";"0";"125000";"1507,33";"1009";"85";"2181";"218,18";"148";"4,66";"4,91";"4,6";"4,75";"5";"9,58";"13,39"
"Товары для взрослых / Шлепалки эротик";"2";"2020-01-27";"29,5";"33";"4555";"353";"82";"1,8";"114";"2,5";"62";"1,36";"54,39";"165";"22";"13,33";"348";"34";"9,77";"458";"230153";"86365";"27,29";"316518";"75";"75";"172615";"172615";"1063";"673";"447769";"63,31";"70";"0";"576231";"4700,61";"1141";"91";"1385";"644,92";"550,5";"4,71";"4,93";"4,68";"4,87";"7";"8,42";"19,21"
"Здоровье / Линзы для очков";"3";"2020-01-25";"30,5";"34";"18148";"2883";"442";"2,44";"529";"2,91";"158";"0,87";"29,87";"60";"14";"23,33";"276";"24";"8,7";"352";"229775";"66408";"22,42";"296183";"100";"100";"229775";"229775";"908";"768";"890317";"84,58";"77";"0";"144372";"5208,7";"1021";"127";"6082";"949,03";"726";"4,68";"4,7";"4,66";"4,67";"1";"nan";"nan"
"Автоаксессуары и дополнительное оборудование / Водосгоны автомобильные";"2";"2020-06-24";"26,5";"30";"2479";"295";"30";"1,21";"50";"2,02";"32";"1,29";"64";"123";"19";"15,45";"549";"27";"4,92";"677";"229709";"107438";"31,87";"337147";"100";"100";"229709";"229709";"540";"355";"125528";"65,74";"24";"0";"900000";"1601,78";"619";"128";"906";"352,88";"346";"4,62";"4,83";"4,56";"4,72";"4";"7,44";"13,54"
"Автохимия и автокосметика / Очистители фар";"2";"2020-02-01";"26,5";"30";"4713";"835";"16";"0,34";"24";"0,51";"17";"0,36";"70,83";"91";"11";"12,09";"343";"12";"3,5";"386";"229504";"8430";"3,54";"237934";"100";"100";"229504";"229504";"684";"332";"186290";"48,54";"53";"0";"200739";"1890,07";"875";"299";"1985";"845,24";"742";"4,49";"5";"4,4";"4,77";"1";"75,56";"22,25"
"Автозапчасти / Растяжки поперечного рычага";"1";"2021-12-08";"26,5";"30";"450";"32";"28";"6,22";"56";"12,44";"43";"9,56";"76,79";"77";"10";"12,99";"99";"16";"16,16";"112";"229451";"14261";"5,85";"243712";"65";"60";"149143";"137671";"66";"25";"69128";"37,88";"18";"254";"190728";"4143";"2326";"442";"12191";"2434,02";"2074";"4,71";"4,79";"4,66";"4,72";"3";"3,62";"6,54"
"Бытовая техника / Сервомоторы для швейных машин";"2";"2020-10-29";"25,5";"29";"350";"52";"19";"5,43";"24";"6,86";"18";"5,14";"75";"17";"6";"35,29";"98";"9";"9,18";"67";"229438";"31772";"12,16";"261210";"0";"0";"0";"0";"212";"149";"426214";"70,28";"95";"0";"106709";"5113,11";"3478";"127";"8704";"3608,22";"1721";"4,82";"4,93";"4,73";"4,8";"nan";"nan";"nan"
"Ручной инструмент и оснастка / Губки малярные";"3";"2020-07-30";"31,5";"35";"1337";"278";"29";"2,17";"47";"3,52";"35";"2,62";"74,47";"56";"13";"23,21";"150";"15";"10";"216";"229363";"12762";"5,27";"242125";"79,94";"79,29";"183353";"181862";"190";"59";"70558";"31,05";"26";"0";"58800";"970,08";"532";"183";"4177";"1170,37";"966";"4,6";"4,83";"4,55";"4,79";"23";"5,44";"11,53"
"Спортивный товар / Планки спортивные";"2";"2020-01-25";"27,5";"31";"1243";"159";"22";"1,77";"27";"2,17";"12";"0,97";"44,44";"50";"8";"16";"70";"8";"11,43";"131";"229029";"15628";"6,39";"244657";"100";"100";"229029";"229029";"236";"142";"161779";"60,17";"54";"0";"60800";"3120,03";"1546";"401";"5590";"1878,67";"1882,5";"4,52";"4,78";"4,44";"4,7";"1";"6,77";"nan"
"Товары для взрослых / Секс кресла";"2";"2020-11-21";"29,5";"33";"684";"43";"3";"0,44";"8";"1,17";"8";"1,17";"100";"37";"5";"13,51";"150";"5";"3,33";"80";"228838";"179177";"43,91";"408015";"83,33";"83,33";"190691";"190691";"27";"6";"41538";"22,22";"10";"0";"83400";"6959,97";"3692";"637";"6923";"4187";"4008";"4,58";"5";"4,47";"4,76";"93";"2,07";"2,16"
"Автозапчасти / Трубки забора топлива";"2";"2021-10-03";"26,5";"30";"5290";"312";"161";"3,04";"250";"4,73";"122";"2,31";"48,8";"239";"40";"16,74";"429";"57";"13,29";"356";"228765";"36784";"13,85";"265549";"90,91";"90,91";"207970";"207970";"377";"222";"337078";"58,89";"32";"0";"105082";"3911,22";"2092,5";"102";"14766";"1274,16";"561";"4,72";"4,8";"4,68";"4,75";"2";"6,09";"8,73"
"Отделочные материалы / Краски масляные";"3";"2020-04-23";"28,5";"32";"7168";"936";"105";"1,46";"168";"2,34";"87";"1,21";"51,79";"129";"21";"16,28";"384";"27";"7,03";"273";"228313";"12903";"5,35";"241216";"93,69";"93,69";"213906";"213906";"2946";"2820";"5176572";"95,72";"324";"0";"528212";"2121,86";"1322,5";"251";"6614";"1103,16";"612";"4,74";"4,85";"4,67";"4,74";"10";"5,57";"8,01"
"Мототовары / Реле для мототехники";"2";"2021-10-30";"26,5";"30";"2189";"483";"105";"4,8";"148";"6,76";"81";"3,7";"54,73";"62";"22";"35,48";"372";"36";"9,68";"603";"228265";"64465";"22,02";"292730";"100";"100";"228265";"228265";"1008";"431";"258889";"42,76";"50";"0";"60800";"1026,8";"765";"138";"6550";"785,47";"538";"4,67";"4,68";"4,59";"4,55";"2";"6,93";"3,39"
"Игрушки / Вертушки детские";"3";"2020-01-25";"23,5";"27";"15865";"3257";"180";"1,13";"308";"1,94";"182";"1,15";"59,09";"378";"43";"11,38";"1283";"81";"6,31";"1033";"228065";"124101";"35,24";"352166";"87,69";"86,15";"199990";"196478";"1491";"1075";"781960";"72,1";"43";"0";"900000";"1366,43";"622";"67";"3189";"364,3";"259";"4,32";"4,54";"4,28";"4,43";"8";"12,97";"18,94"
"Мебель офисная и торговое оборудование / Стеллажи торговые";"3";"2022-08-11";"26,5";"30";"4822";"1102";"71";"1,47";"107";"2,22";"60";"1,24";"56,07";"51";"6";"11,76";"619";"17";"2,75";"268";"228039";"58959";"20,54";"286998";"100";"100";"228039";"228039";"244";"85";"145176";"34,84";"27";"0";"173936";"3674,24";"1564";"104";"10318";"1301,25";"1040,5";"4,7";"4,86";"4,66";"4,81";"2";"7,48";"4,95"
"Товары для отдыха и кемпинга / Аксессуары для газовых грилей";"2";"2020-10-16";"28,5";"32";"2940";"632";"41";"1,39";"50";"1,7";"26";"0,88";"52";"92";"6";"6,52";"441";"13";"2,95";"372";"227912";"55884";"19,69";"283796";"94,44";"94,44";"215240";"215240";"699";"263";"609775";"37,63";"56";"0";"154195";"2515,69";"1301";"109";"22950";"3457,08";"592,5";"4,81";"4,85";"4,76";"4,78";"2";"6,22";"9,58"
